sku,name_ar,name_en,description_ar,description_en,brand_slug,category_slug,base_price_egp,vat_exempt,authenticity,specs_json,status
CANON-CRG-725,خرطوشة تونر Canon 725 أصلية أسود,Canon 725 Black Original Toner Cartridge,تونر Canon 725 لطابعات LBP6000 / MF3010.,Canon 725 toner for LBP6000 / MF3010.,canon,toner-cartridges,2150,false,GENUINE,"{""pageYield"":""1600 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-737,خرطوشة تونر Canon 737 أصلية أسود,Canon 737 Black Original Toner Cartridge,تونر Canon 737 لطابعات MF211 / MF229dw.,Canon 737 toner for MF211 / MF229dw.,canon,toner-cartridges,2450,false,GENUINE,"{""pageYield"":""2400 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-047,خرطوشة تونر Canon 047 أصلية أسود,Canon 047 Black Original Toner Cartridge,تونر Canon 047 لطابعات LBP112 / MF113w.,Canon 047 toner for LBP112 / MF113w.,canon,toner-cartridges,2350,false,GENUINE,"{""pageYield"":""1600 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-057,خرطوشة تونر Canon 057 أصلية أسود,Canon 057 Black Original Toner Cartridge,تونر Canon 057 لطابعات LBP223 / MF445.,Canon 057 toner for LBP223 / MF445.,canon,toner-cartridges,2950,false,GENUINE,"{""pageYield"":""3100 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-057H,خرطوشة تونر Canon 057H عالية الإنتاجية,Canon 057H High-Yield Black Original Toner,Canon 057H عالية الإنتاجية — 10000 صفحة.,Canon 057H high-yield — 10000 pages.,canon,toner-cartridges,4850,false,GENUINE,"{""pageYield"":""10000 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-328,خرطوشة تونر Canon 328 أصلية أسود,Canon 328 Black Original Toner Cartridge,Canon 328 لطابعات D520 / MF4410.,Canon 328 for D520 / MF4410.,canon,toner-cartridges,2250,false,GENUINE,"{""pageYield"":""2100 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-119,خرطوشة تونر Canon 119 أصلية أسود,Canon 119 Black Original Toner Cartridge,Canon 119 لطابعات imageCLASS D1150 / LBP6300.,Canon 119 for imageCLASS D1150 / LBP6300.,canon,toner-cartridges,2950,false,GENUINE,"{""pageYield"":""2100 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-725-COMP,خرطوشة تونر Canon 725 متوافقة,Canon 725 Compatible Black Toner,بديل متوافق لـ Canon 725. إنتاجية 1600 صفحة.,Compatible Canon 725 — 1600 pages.,canon,toner-cartridges,895,false,COMPATIBLE,"{""pageYield"":""1600 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-737-COMP,خرطوشة تونر Canon 737 متوافقة,Canon 737 Compatible Black Toner,بديل متوافق لـ Canon 737 — 2400 صفحة.,Compatible Canon 737 — 2400 pages.,canon,toner-cartridges,995,false,COMPATIBLE,"{""pageYield"":""2400 pages"",""color"":""Black""}",ACTIVE
BROTHER-TN-2480,خرطوشة تونر Brother TN-2480 أصلية,Brother TN-2480 Black Original Toner,تونر Brother لطابعات HL-L2375 / MFC-L2715.,Brother toner for HL-L2375 / MFC-L2715.,brother,toner-cartridges,2250,false,GENUINE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
BROTHER-TN-261BK,خرطوشة تونر Brother TN-261 أسود,Brother TN-261 Black Toner,تونر أسود Brother لطابعات ColorLaser HL-3150.,Brother black toner for HL-3150 ColorLaser.,brother,toner-cartridges,2450,false,GENUINE,"{""pageYield"":""2500 pages"",""color"":""Black""}",ACTIVE
BROTHER-TN-261C,خرطوشة تونر Brother TN-261 سيان,Brother TN-261 Cyan Toner,تونر Brother سيان لـ HL-3150 / MFC-9140.,Brother cyan for HL-3150 / MFC-9140.,brother,toner-cartridges,2650,false,GENUINE,"{""pageYield"":""1400 pages"",""color"":""Cyan""}",ACTIVE
BROTHER-TN-261M,خرطوشة تونر Brother TN-261 ماجنتا,Brother TN-261 Magenta Toner,تونر Brother ماجنتا لـ HL-3150 / MFC-9140.,Brother magenta for HL-3150 / MFC-9140.,brother,toner-cartridges,2650,false,GENUINE,"{""pageYield"":""1400 pages"",""color"":""Magenta""}",ACTIVE
BROTHER-TN-261Y,خرطوشة تونر Brother TN-261 أصفر,Brother TN-261 Yellow Toner,تونر Brother أصفر لـ HL-3150 / MFC-9140.,Brother yellow for HL-3150 / MFC-9140.,brother,toner-cartridges,2650,false,GENUINE,"{""pageYield"":""1400 pages"",""color"":""Yellow""}",ACTIVE
BROTHER-TN-2060,خرطوشة تونر Brother TN-2060 أصلية,Brother TN-2060 Black Original Toner,Brother TN-2060 لطابعات HL-2130 / HL-2132.,Brother TN-2060 for HL-2130 / HL-2132.,brother,toner-cartridges,1795,false,GENUINE,"{""pageYield"":""1000 pages"",""color"":""Black""}",ACTIVE
BROTHER-TN-2280,خرطوشة تونر Brother TN-2280 عالية الإنتاجية,Brother TN-2280 High-Yield Black Toner,TN-2280 عالية الإنتاجية لـ HL-2240 / HL-2270. 2600 صفحة.,High-yield TN-2280 for HL-2240 / HL-2270. 2600 pages.,brother,toner-cartridges,2650,false,GENUINE,"{""pageYield"":""2600 pages"",""color"":""Black""}",ACTIVE
BROTHER-TN-2480-COMP,خرطوشة تونر Brother TN-2480 متوافقة,Brother TN-2480 Compatible Toner,بديل متوافق لـ TN-2480 — 3000 صفحة.,Compatible TN-2480 — 3000 pages.,brother,toner-cartridges,995,false,COMPATIBLE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D111S,خرطوشة تونر Samsung MLT-D111S أصلية,Samsung MLT-D111S Black Original Toner,تونر Samsung لطابعات Xpress M2020 / M2070.,Samsung toner for Xpress M2020 / M2070.,samsung,toner-cartridges,1750,false,GENUINE,"{""pageYield"":""1000 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D111L,خرطوشة تونر Samsung MLT-D111L عالية الإنتاجية,Samsung MLT-D111L High-Yield Toner,MLT-D111L بإنتاجية 1800 صفحة لـ M2020 / M2070.,MLT-D111L — 1800 pages for M2020 / M2070.,samsung,toner-cartridges,2450,false,GENUINE,"{""pageYield"":""1800 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D101S,خرطوشة تونر Samsung MLT-D101S أصلية,Samsung MLT-D101S Black Original Toner,تونر Samsung لطابعات ML-2160 / SCX-3400.,Samsung toner for ML-2160 / SCX-3400.,samsung,toner-cartridges,1650,false,GENUINE,"{""pageYield"":""1500 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D104S,خرطوشة تونر Samsung MLT-D104S أصلية,Samsung MLT-D104S Black Original Toner,Samsung MLT-D104S لـ ML-1660 / ML-1665.,Samsung MLT-D104S for ML-1660 / ML-1665.,samsung,toner-cartridges,1750,false,GENUINE,"{""pageYield"":""1500 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D203S,خرطوشة تونر Samsung MLT-D203S أصلية,Samsung MLT-D203S Black Original Toner,Samsung MLT-D203S لـ M3320ND / M3820.,Samsung MLT-D203S for M3320ND / M3820.,samsung,toner-cartridges,2250,false,GENUINE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D203L,خرطوشة تونر Samsung MLT-D203L عالية الإنتاجية,Samsung MLT-D203L High-Yield Toner,MLT-D203L — 5000 صفحة لـ M3320 / M3820.,MLT-D203L — 5000 pages for M3320 / M3820.,samsung,toner-cartridges,3450,false,GENUINE,"{""pageYield"":""5000 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D111S-COMP,خرطوشة تونر Samsung MLT-D111S متوافقة,Samsung MLT-D111S Compatible Toner,بديل متوافق لـ MLT-D111S بإنتاجية 1000 صفحة.,Compatible replacement for MLT-D111S. 1000 page yield.,samsung,toner-cartridges,950,false,COMPATIBLE,"{""pageYield"":""1000 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D101S-COMP,خرطوشة تونر Samsung MLT-D101S متوافقة,Samsung MLT-D101S Compatible Toner,بديل متوافق لـ MLT-D101S — 1500 صفحة.,Compatible MLT-D101S — 1500 pages.,samsung,toner-cartridges,895,false,COMPATIBLE,"{""pageYield"":""1500 pages"",""color"":""Black""}",ACTIVE
XEROX-106R03621,خرطوشة تونر Xerox Phaser 3330 أصلية,Xerox Phaser 3330 Original Toner,تونر Xerox أصلي لـ Phaser 3330 / WorkCentre 3335.,Xerox original toner for Phaser 3330 / WorkCentre 3335.,xerox,toner-cartridges,3450,false,GENUINE,"{""pageYield"":""8500 pages"",""color"":""Black""}",ACTIVE
XEROX-106R02773,خرطوشة تونر Xerox Phaser 3020 أصلية,Xerox Phaser 3020 Original Toner,تونر Xerox أصلي لـ Phaser 3020 / WorkCentre 3025.,Xerox original toner for Phaser 3020 / WorkCentre 3025.,xerox,toner-cartridges,2450,false,GENUINE,"{""pageYield"":""1500 pages"",""color"":""Black""}",ACTIVE
KYOCERA-TK-1170,خرطوشة تونر Kyocera TK-1170 أصلية,Kyocera TK-1170 Original Toner,تونر Kyocera TK-1170 لـ ECOSYS M2040.,Kyocera TK-1170 for ECOSYS M2040.,kyocera,toner-cartridges,3150,false,GENUINE,"{""pageYield"":""7200 pages"",""color"":""Black""}",ACTIVE
KYOCERA-TK-1160,خرطوشة تونر Kyocera TK-1160 أصلية,Kyocera TK-1160 Original Toner,تونر Kyocera TK-1160 لـ ECOSYS P2040.,Kyocera TK-1160 for ECOSYS P2040.,kyocera,toner-cartridges,2850,false,GENUINE,"{""pageYield"":""7200 pages"",""color"":""Black""}",ACTIVE
CANON-PG-745,خرطوشة حبر Canon PG-745 أصلية أسود,Canon PG-745 Black Original Ink Cartridge,حبر Canon لطابعات PIXMA MG3070 / TR4570.,Canon ink for PIXMA MG3070 / TR4570.,canon,ink-cartridges,495,false,GENUINE,"{""pageYield"":""180 pages"",""color"":""Black""}",ACTIVE
CANON-CL-746,خرطوشة حبر Canon CL-746 أصلية ملون,Canon CL-746 Tri-Color Original Ink Cartridge,حبر ثلاثي الألوان Canon لطابعات PIXMA.,Canon tri-color ink for PIXMA printers.,canon,ink-cartridges,595,false,GENUINE,"{""pageYield"":""180 pages"",""color"":""Tri-color""}",ACTIVE
CANON-PG-745XL,خرطوشة حبر Canon PG-745XL أصلية عالية الإنتاجية,Canon PG-745XL High-Yield Black Ink,Canon PG-745XL بإنتاجية مضاعفة لـ PIXMA MG3070.,Canon PG-745XL — double yield for PIXMA MG3070.,canon,ink-cartridges,745,false,GENUINE,"{""pageYield"":""400 pages"",""color"":""Black""}",ACTIVE
CANON-CL-746XL,خرطوشة حبر Canon CL-746XL أصلية عالية الإنتاجية,Canon CL-746XL High-Yield Tri-Color Ink,Canon CL-746XL — حبر ثلاثي الألوان عالي الإنتاجية.,Canon CL-746XL tri-color high yield.,canon,ink-cartridges,895,false,GENUINE,"{""pageYield"":""400 pages"",""color"":""Tri-color""}",ACTIVE
CANON-PG-47,خرطوشة حبر Canon PG-47 أصلية أسود,Canon PG-47 Black Original Ink Cartridge,Canon PG-47 لـ PIXMA E400 / E410.,Canon PG-47 for PIXMA E400 / E410.,canon,ink-cartridges,445,false,GENUINE,"{""color"":""Black""}",ACTIVE
CANON-CL-57,خرطوشة حبر Canon CL-57 أصلية ملون,Canon CL-57 Tri-Color Original Ink Cartridge,Canon CL-57 ثلاثي الألوان لـ PIXMA E400.,Canon CL-57 tri-color for PIXMA E400.,canon,ink-cartridges,545,false,GENUINE,"{""color"":""Tri-color""}",ACTIVE
CANON-GI-790-BK,حبر Canon GI-790 أسود 135 مل,Canon GI-790 Black Ink Bottle 135ml,حبر Canon GI-790 لطابعات PIXMA G-series.,Canon GI-790 ink for PIXMA G-series.,canon,ink-cartridges,325,false,GENUINE,"{""volume"":""135ml"",""color"":""Black""}",ACTIVE
CANON-GI-790-C,حبر Canon GI-790 سيان 70 مل,Canon GI-790 Cyan Ink Bottle 70ml,حبر GI-790 سيان لـ PIXMA G-series.,Canon GI-790 cyan for PIXMA G-series.,canon,ink-cartridges,295,false,GENUINE,"{""volume"":""70ml"",""color"":""Cyan""}",ACTIVE
CANON-GI-790-M,حبر Canon GI-790 ماجنتا 70 مل,Canon GI-790 Magenta Ink Bottle 70ml,حبر GI-790 ماجنتا لـ PIXMA G-series.,Canon GI-790 magenta for PIXMA G-series.,canon,ink-cartridges,295,false,GENUINE,"{""volume"":""70ml"",""color"":""Magenta""}",ACTIVE
CANON-GI-790-Y,حبر Canon GI-790 أصفر 70 مل,Canon GI-790 Yellow Ink Bottle 70ml,حبر GI-790 أصفر لـ PIXMA G-series.,Canon GI-790 yellow for PIXMA G-series.,canon,ink-cartridges,295,false,GENUINE,"{""volume"":""70ml"",""color"":""Yellow""}",ACTIVE
EPSON-T6641,حبر Epson 664 أصلي أسود 70 مل,Epson 664 Black Original Ink Bottle 70ml,حبر Epson الأصلي لطابعات L130 / L220 / L355.,Genuine Epson ink for L130 / L220 / L355.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""70ml"",""color"":""Black""}",ACTIVE
EPSON-T6642,حبر Epson 664 أصلي سيان 70 مل,Epson 664 Cyan Original Ink Bottle 70ml,حبر سيان Epson لطابعات L130 / L220 / L355.,Cyan Epson ink for L130 / L220 / L355.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""70ml"",""color"":""Cyan""}",ACTIVE
EPSON-T6643,حبر Epson 664 أصلي ماجنتا 70 مل,Epson 664 Magenta Original Ink Bottle 70ml,حبر ماجنتا Epson لطابعات L130 / L220 / L355.,Magenta Epson ink for L130 / L220 / L355.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""70ml"",""color"":""Magenta""}",ACTIVE
EPSON-T6644,حبر Epson 664 أصلي أصفر 70 مل,Epson 664 Yellow Original Ink Bottle 70ml,حبر أصفر Epson لطابعات L130 / L220 / L355.,Yellow Epson ink for L130 / L220 / L355.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""70ml"",""color"":""Yellow""}",ACTIVE
EPSON-T544,حبر Epson 544 أصلي أسود 65 مل,Epson 544 Black Original Ink Bottle 65ml,حبر Epson لطابعات L3110 / L3150.,Epson ink for L3110 / L3150.,epson,ink-cartridges,395,false,GENUINE,"{""volume"":""65ml"",""color"":""Black""}",ACTIVE
EPSON-T544-C,حبر Epson 544 أصلي سيان 65 مل,Epson 544 Cyan Original Ink Bottle 65ml,حبر سيان لـ L3110 / L3150.,Epson 544 cyan for L3110 / L3150.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""65ml"",""color"":""Cyan""}",ACTIVE
EPSON-T544-M,حبر Epson 544 أصلي ماجنتا 65 مل,Epson 544 Magenta Original Ink Bottle 65ml,حبر ماجنتا لـ L3110 / L3150.,Epson 544 magenta for L3110 / L3150.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""65ml"",""color"":""Magenta""}",ACTIVE
EPSON-T544-Y,حبر Epson 544 أصلي أصفر 65 مل,Epson 544 Yellow Original Ink Bottle 65ml,حبر أصفر لـ L3110 / L3150.,Epson 544 yellow for L3110 / L3150.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""65ml"",""color"":""Yellow""}",ACTIVE
EPSON-T003,حبر Epson 003 أصلي أسود,Epson 003 Black Original Ink Bottle,حبر Epson 003 أسود لطابعات L3210 / L3250.,Epson 003 black ink for L3210 / L3250.,epson,ink-cartridges,325,false,GENUINE,"{""volume"":""65ml"",""color"":""Black""}",ACTIVE
EPSON-T003-C,حبر Epson 003 أصلي سيان,Epson 003 Cyan Original Ink Bottle,حبر Epson 003 سيان لـ L3210 / L3250.,Epson 003 cyan for L3210 / L3250.,epson,ink-cartridges,295,false,GENUINE,"{""volume"":""65ml"",""color"":""Cyan""}",ACTIVE
EPSON-T003-M,حبر Epson 003 أصلي ماجنتا,Epson 003 Magenta Original Ink Bottle,حبر Epson 003 ماجنتا لـ L3210 / L3250.,Epson 003 magenta for L3210 / L3250.,epson,ink-cartridges,295,false,GENUINE,"{""volume"":""65ml"",""color"":""Magenta""}",ACTIVE
EPSON-T003-Y,حبر Epson 003 أصلي أصفر,Epson 003 Yellow Original Ink Bottle,حبر Epson 003 أصفر لـ L3210 / L3250.,Epson 003 yellow for L3210 / L3250.,epson,ink-cartridges,295,false,GENUINE,"{""volume"":""65ml"",""color"":""Yellow""}",ACTIVE
EPSON-T6731,حبر Epson T6731 أصلي أسود 70 مل,Epson T6731 Black Original Ink Bottle,حبر Epson T6731 لطابعات L800 / L850 / L1800.,Epson T6731 for L800 / L850 / L1800.,epson,ink-cartridges,395,false,GENUINE,"{""volume"":""70ml"",""color"":""Black""}",ACTIVE
EPSON-T6732,حبر Epson T6732 أصلي سيان 70 مل,Epson T6732 Cyan Original Ink Bottle,حبر Epson T6732 سيان لـ L800 / L850.,Epson T6732 cyan for L800 / L850.,epson,ink-cartridges,395,false,GENUINE,"{""volume"":""70ml"",""color"":""Cyan""}",ACTIVE
EPSON-T6733,حبر Epson T6733 أصلي ماجنتا 70 مل,Epson T6733 Magenta Original Ink Bottle,حبر Epson T6733 ماجنتا لـ L800 / L850.,Epson T6733 magenta for L800 / L850.,epson,ink-cartridges,395,false,GENUINE,"{""volume"":""70ml"",""color"":""Magenta""}",ACTIVE
EPSON-T6734,حبر Epson T6734 أصلي أصفر 70 مل,Epson T6734 Yellow Original Ink Bottle,حبر Epson T6734 أصفر لـ L800 / L850.,Epson T6734 yellow for L800 / L850.,epson,ink-cartridges,395,false,GENUINE,"{""volume"":""70ml"",""color"":""Yellow""}",ACTIVE
